Arabic Name,Closest English Name,Similarity Score
مالك عبد الإله مالك الطنطاوي,Malik Abdulilah Malik Al-Tantawi,59
نورا علي حسين الجابري,Nora Ali Hussein Al-Jaberi,50
لينا عبد الكريم محمود الحسيني,Leena Abdul Karim Mahmoud Al-Husseini,48
أحمد سعيد حسن الشمري,Ahmed Saeed Hassan Al-Shammari,52
ريم سامي محمود العبدلي,Reem Sami Mahmoud Al-Abdali,47
فاطمة محمد حسن الغزالي,Fatima Mohammed Hassan Al-Ghazali,54
عبد الله محمد علي السقاف,Abdullah Mohammed Ali Al-Saqqaf,58
حسين علي عبد الله السيف,Hussein Ali Abdullah Al-Saif,57
حسين عبد الله علي الصفار,Hussein Abdullah Ali Al-Saffar,63
علي حسين عبد الله العبيد,Ali Hussein Abdullah Al-Obaid,59
علي حسن عبد الله الخضر,Ali Hassan Abdullah Al-Khudr,61
عبد الله حسين علي الرفاعي,Abdullah Hussein Ali Al-Rifai,55
عبد الإله مالك عبد الحق الشهري,Abdulilah Malik Abdul Haq Al-Shahri,62
عبد الإله مالك عبد الرحمن العتيبي,Abdulilah Malik Abdul Rahman Al-Otaibi,55
عبد الإله مالك محمد الدوسري,Abdulilah Malik Mohammed Al-Dosari,56
عبد الإله مالك حسن العتيبي,Abdulilah Malik Hassan Al-Otaibi,59
